id_expedicion,id_fecha,id_accidente,id_miembro,id_pico,id_resultado,id_ruta,altitud,cupos,conteo_mortalidad
1,1,1,1,1,1,582,6055,5,0
2,1,1,2,1,1,582,0,0,0
3,1,1,3,1,1,582,0,0,0
4,1,1,4,1,1,582,0,0,0
5,1,1,5,1,1,582,0,0,0
6,2,1,6,1,1,370,6055,11,0
7,2,1,7,1,1,370,0,0,0
8,2,1,8,1,1,370,0,0,0
9,2,1,9,1,1,370,0,0,0
10,2,1,10,1,1,370,0,0,0
11,2,1,11,1,1,370,0,0,0
12,2,1,12,1,1,370,0,0,0
13,2,1,13,1,1,370,0,0,0
14,2,1,14,1,1,370,0,0,0
15,2,1,15,1,1,370,0,0,0
16,2,1,16,1,1,370,0,0,0
17,3,2,17,2,1,487,0,0,0
18,3,2,18,2,1,487,6814,5,0
19,3,2,19,2,1,487,0,0,0
20,3,2,20,2,1,487,0,0,0
21,3,2,21,2,1,487,0,0,0
22,4,2,22,2,1,964,0,0,0
23,4,2,23,2,1,964,0,0,0
24,4,2,24,2,1,964,0,0,0
25,4,2,25,2,1,964,6814,7,0
26,4,2,26,2,1,964,0,0,0
27,5,3,27,2,1,964,0,0,0
28,5,3,28,2,1,964,0,0,0
29,5,3,29,2,1,964,0,0,0
30,5,3,30,2,1,964,6814,4,0
31,6,3,31,2,2,964,0,0,0
32,6,3,32,2,2,964,6000,7,0
33,6,3,33,2,2,964,0,0,0
34,6,3,34,2,2,964,0,0,0
35,6,3,35,2,2,964,0,0,0
36,6,3,36,2,2,964,0,0,0
37,7,1,37,2,3,964,6300,6,0
38,7,1,38,2,3,964,0,0,0
39,7,1,39,2,3,964,0,0,0
40,7,1,40,2,3,964,0,0,0
41,8,1,41,2,2,964,6200,3,0
42,8,1,42,2,2,964,0,0,0
43,8,1,43,2,2,964,0,0,0
44,9,1,44,2,2,964,6400,6,0
45,9,1,45,2,2,964,0,0,0
46,9,1,46,2,2,964,0,0,0
47,9,1,47,2,2,964,0,0,0
48,10,1,48,2,4,964,6200,4,0
49,10,1,49,2,4,964,0,0,0
50,11,1,50,2,2,964,6400,6,0
51,11,1,51,2,2,964,0,0,0
52,11,1,52,2,2,964,0,0,0
53,11,1,53,2,2,964,0,0,0
54,11,1,54,2,2,964,0,0,0
55,11,1,55,2,2,964,0,0,0
56,12,3,56,2,2,964,0,0,0
57,12,3,57,2,2,964,0,0,0
58,12,3,58,2,2,964,0,0,0
59,12,3,59,2,2,964,0,0,0
60,12,3,60,2,2,964,0,0,0
61,12,3,61,2,2,964,0,0,0
62,12,3,62,2,2,964,6280,11,0
63,12,3,63,2,2,964,0,0,0
64,12,3,64,2,2,964,0,0,0
65,12,3,65,2,2,964,0,0,0
66,13,1,66,2,2,964,0,0,0
67,13,1,67,2,2,964,0,0,0
68,13,1,68,2,2,964,6200,6,0
69,13,1,69,2,2,964,0,0,0
70,13,1,70,2,2,964,0,0,0
71,13,1,71,2,2,964,0,0,0
72,14,3,72,2,1,964,0,0,0
73,14,3,73,2,1,964,0,0,0
74,14,3,74,2,1,964,0,0,0
75,14,3,75,2,1,964,0,0,0
76,14,3,76,2,1,964,6814,8,0
77,14,3,77,2,1,964,0,0,0
78,15,1,78,2,1,964,0,0,0
79,15,1,79,2,1,964,6814,8,0
80,15,1,80,2,1,964,0,0,0
81,15,1,81,2,1,964,0,0,0
82,15,1,82,2,1,964,0,0,0
83,15,1,83,2,1,964,0,0,0
84,15,1,84,2,1,964,0,0,0
85,15,1,85,2,1,964,0,0,0
86,16,1,86,2,3,964,0,0,0
87,16,1,87,2,3,964,6250,2,0
88,17,1,88,2,1,964,0,0,0
89,17,1,89,2,1,964,6814,4,0
90,18,1,90,2,1,964,0,0,0
91,18,1,91,2,1,964,0,0,0
92,18,1,92,2,1,964,0,0,0
93,18,1,93,2,1,964,0,0,0
94,18,1,94,2,1,964,0,0,0
95,18,1,95,2,1,964,0,0,0
96,18,1,96,2,1,964,0,0,0
97,18,1,97,2,1,964,6814,9,0
98,18,1,98,2,1,964,0,0,0
99,19,1,99,2,1,964,6814,2,0
100,19,1,100,2,1,964,6814,2,0
101,20,1,101,2,1,964,0,0,0
102,20,1,102,2,1,964,0,0,0
103,20,1,103,2,1,964,6814,4,0
104,20,1,104,2,1,964,0,0,0
105,19,1,105,2,1,964,6814,1,0
106,21,4,106,2,1,964,0,0,0
107,21,4,107,2,1,964,0,0,0
108,21,4,108,2,1,964,0,0,0
109,21,4,109,2,1,964,6814,4,0
110,22,1,110,2,1,964,0,0,0
111,22,1,111,2,1,964,6814,6,0
112,22,1,112,2,1,964,0,0,0
113,22,1,113,2,1,964,0,0,0
114,23,1,114,2,1,964,6814,2,0
115,23,1,115,2,1,964,0,0,0
116,24,1,116,2,1,964,0,0,0
117,24,1,117,2,1,964,0,0,0
118,24,1,118,2,1,964,6814,4,0
