1,Chandi Himal (SW of Changwathang),3
2,Khumbu Himal,3
3,Damodar Himal (NW of Pokharhan),3
4,Khumbu Himal (N of Ama Dablam),3
5,"Khumbu Himal (E of Amphu Laptsa, W of Baruntse)",3
6,Khumbu Himal (NW of Amphu Laptsa),3
7,Kangchenjunga Himal (W of Kangbachen),3
8,Annapurna Himal,3
9,Annapurna Himal (ENE of Annapurna I),3
10,Annapurna Himal (S of Annapurna I and Fang),3
11,Api Himal,3
12,Api Himal (W of Api),3
13,Phupharka Himal (NW of Simikot),3
14,Mukut Himal (W Mustang near Tibetan border),4
15,Gorakh Himal (ENE of Simikot on Tibetan border),4
16,Rolwaling Himal (E of Chekigo on Tibetan border),4
17,Khumbu Himal (W of Makalu),3
18,Mansiri Himal (SE of Manaslu and Himalchuli),3
19,Rolwaling Himal (N of Beding village on Tibetan border),4
20,Jugal Himal (SE of Shalbachum),3
21,Damodar Himal (NE of Thorong La near Tibetan border),3
22,Damodar Himal (NE of Thorong La on Tibetan border),4
23,Kanjiroba Himal (NNW of Kanjiroba North),3
24,Jagdula Lekh (S of Kande Huinchuli),3
25,Api Himal (S of Nampa),3
26,Kangchenjunga Himal (SE of Jannu),3
27,Jugal Himal (ENE of Dorje Lhakpa on Tibetan border),4
28,Khumbu Himal (ENE of Hungchhi on Tibetan border),4
29,Rolwaling Himal (NW of Lamabagar on Tibetan border),4
30,Ohmi Kangri Himal (E of Ohmi Kangri on Tibetan border),4
31,Makalu Himal (NW of Makalu II on Tibetan border),4
32,Damodar Himal (ESE of Bhrikuti Shail),3
33,"Khumbu Himal (in Hongku Valley, SW of Makalu)",3
34,Changla Himal (N of Jumla on Tibetan border),4
35,Ohmi Kangri Himal (WNW of Ohmi Kangri on Tibetan border),4
36,Rolwaling Himal (ENE of Beding village on Tibetan border),4
37,Peri Himal (ESE of Himlung Himal on Tibetan border),4
38,Damodar Himal (SW of Saribang and WSW of Bhrikuti),3
39,"Mukut Himal (NW of Tsharka village, SE of Tingkyu village)",3
40,Shringi Himal,3
41,Shringi Himal (SSE of Chamar),3
42,Chandi Himal (NE of Simikot on Tibetan border),4
43,Palchung Himal (SE of Kanti Himal peak on Tibetan border),4
44,Rolwaling Himal (NE of Tsho Rolpa),3
45,Khumbu Himal (N of Tawoche),3
46,"Khumbu Himal (S of Shartse, N of Baruntse)",3
47,Khumbu Himal (NW of Everest on Tibetan border),4
48,Dhaulagiri Himal (NW of Dhaulagiri VI),3
49,Khumbu Himal (S of Lhotse),3
50,Damodar Himal (NNE of Pisang Peak),3
51,Rolwaling Himal (WSW of Tesi Laptsa),3
52,Damodar Himal (E of Thorong La),3
