id_expedicion,codigo_pico,Año,host,Temporada,nombre_Temporada,Pais,Lideres,Exito,motivo_terminacion,altitud,cupo,Muertes,Accidente,Ruta,Fecha,Dia_Mas_Alto
ACHN15301,ACHN,2015,Nepal,3,Otoño,Japon,Hiroki Senda,Sí,Expedicion Completada(Pico Principal),6055,5,0,Desconocido,NW side,2015/09/03,2015/09/03
ACHN15302,ACHN,2015,Nepal,3,Otoño,Francia,Paulo Grobel,Sí,Expedicion Completada(Pico Principal),6055,11,0,Desconocido,N Ridge-W Ridge,2015/09/25,2015/09/25
AMAD00101,AMAD,2000,Nepal,1,Primavera,Nueva Zelanda,David Crofts,Sí,Expedicion Completada(Pico Principal),6814,5,0,Congelamiento,NE Spur-N Ridge up; SW Ridge down,2000/04/15,2000/05/04
AMAD00102,AMAD,2000,Nepal,1,Primavera,Rusia,Vladimir Prokopenko,Sí,Expedicion Completada(Pico Principal),6814,7,0,Congelamiento,SW Ridge,2000/04/23,2000/05/05
AMAD00103,AMAD,2000,Nepal,1,Primavera,Austria,Theo Fritsche,Sí,Expedicion Completada(Pico Principal),6814,4,0,Enfermedad,SW Ridge,2000/05/01,2000/05/15
AMAD00104,AMAD,2000,Nepal,1,Primavera,Estados Unidos,Matt Fioretti,No,Mal Clima,6000,7,0,Enfermedad,SW Ridge,2000/04/02,2000/04/19
AMAD00105,AMAD,2000,Nepal,1,Primavera,España,Xavier Gonzalez,No,"Ruta demasiado difícil, falta de experiencia, fuerza o motivación",6300,6,0,Desconocido,SW Ridge,2000/04/11,2000/04/19
AMAD00106,AMAD,2000,Nepal,1,Primavera,Suecia,Mikael Sigfrid Karlsson,No,Mal Clima,6200,3,0,Desconocido,SW Ridge,2000/04/28,2000/05/01
AMAD00107,AMAD,2000,Nepal,1,Primavera,Italia,Rudy Buccella,No,Mal Clima,6400,6,0,Desconocido,SW Ridge,2000/05/09,2000/05/21
AMAD00108,AMAD,2000,Nepal,1,Primavera,Estados Unidos,Jeffrey Clapp,No,"Enfermedad, mal de altura, agotamiento o congelación.",6200,4,0,Desconocido,SW Ridge,2000/04/17,2000/04/26
AMAD00109,AMAD,2000,Nepal,1,Primavera,Estados Unidos,Dave Penny,No,Mal Clima,6400,6,0,Desconocido,SW Ridge,2000/04/13,2000/04/25
AMAD00110,AMAD,2000,Nepal,1,Primavera,Estados Unidos,Pasquale Scaturro,No,Mal Clima,6280,11,0,Enfermedad,SW Ridge,2000/04/01,2000/04/14
AMAD00111,AMAD,2000,Nepal,1,Primavera,Mexico,Pablo Juarez,No,Mal Clima,6200,6,0,Desconocido,SW Ridge,2000/03/29,2000/04/11
AMAD00301,AMAD,2000,Nepal,3,Otoño,Italia,Konrad Prantl,Sí,Expedicion Completada(Pico Principal),6814,8,0,Enfermedad,SW Ridge,2000/11/09,2000/11/14
AMAD00302,AMAD,2000,Nepal,3,Otoño,Italia,Massimo Faletti,Sí,Expedicion Completada(Pico Principal),6814,8,0,Desconocido,SW Ridge,2000/10/24,2000/10/30
AMAD00303,AMAD,2000,Nepal,3,Otoño,Alemania,Manfred Reichelt,No,"Ruta demasiado difícil, falta de experiencia, fuerza o motivación",6250,2,0,Desconocido,SW Ridge,2000/11/08,2000/11/11
AMAD00304,AMAD,2000,Nepal,3,Otoño,Alemania,Thorsten Schueller,Sí,Expedicion Completada(Pico Principal),6814,4,0,Desconocido,SW Ridge,2000/10/07,2000/10/13
AMAD00305,AMAD,2000,Nepal,3,Otoño,Italia,Ferdinando Nusdeo,Sí,Expedicion Completada(Pico Principal),6814,9,0,Desconocido,SW Ridge,2000/10/14,2000/10/18
AMAD00306,AMAD,2000,Nepal,3,Otoño,España,Jesus Cubillas,Sí,Expedicion Completada(Pico Principal),6814,2,0,Desconocido,SW Ridge,2000/10/09,2000/10/20
AMAD00307,AMAD,2000,Nepal,3,Otoño,Japon,Masakazu Okuda,Sí,Expedicion Completada(Pico Principal),6814,4,0,Desconocido,SW Ridge,2000/09/28,2000/10/09
AMAD00308,AMAD,2000,Nepal,3,Otoño,Francia,Johan Perrier,Sí,Expedicion Completada(Pico Principal),6814,1,0,Desconocido,SW Ridge,2000/10/09,2000/10/19
AMAD00309,AMAD,2000,Nepal,3,Otoño,España,Francisco Navas,Sí,Expedicion Completada(Pico Principal),6814,4,0,Heridas Leves,SW Ridge,2000/10/01,2000/10/19
AMAD00310,AMAD,2000,Nepal,3,Otoño,Italia,Claudio Inselvini,Sí,Expedicion Completada(Pico Principal),6814,6,0,Desconocido,SW Ridge,2000/10/08,2000/10/17
AMAD00311,AMAD,2000,Nepal,3,Otoño,Austria,Christian Nedomlel,Sí,Expedicion Completada(Pico Principal),6814,2,0,Desconocido,SW Ridge,2000/10/04,2000/10/13
AMAD00312,AMAD,2000,Nepal,3,Otoño,Suiza,Peter Gujan,Sí,Expedicion Completada(Pico Principal),6814,4,0,Desconocido,SW Ridge,2000/10/31,2000/11/07
AMAD00313,AMAD,2000,Nepal,3,Otoño,Suiza,Heinz Mueller,Sí,Expedicion Completada(Pico Principal),6814,6,0,Enfermedad,SW Ridge,2000/10/15,2000/10/19
AMAD00314,AMAD,2000,Nepal,3,Otoño,Alemania,Herbert Streibel,Sí,Expedicion Completada(Pico Principal),6814,14,0,Enfermedad,SW Ridge,2000/10/04,2000/10/15
AMAD00315,AMAD,2000,Nepal,3,Otoño,Polonia,Ryszard Pawlowski,Sí,Expedicion Completada(Pico Principal),6814,12,0,Heridas Leves,SW Ridge,2000/10/28,2000/11/06
AMAD00316,AMAD,2000,Nepal,3,Otoño,Estados Unidos,"Matthew Walker, Matt Szundy",Sí,Expedicion Completada(Pico Principal),6814,2,0,Desconocido,SW Ridge,2000/11/05,2000/11/12
AMAD00317,AMAD,2000,Nepal,3,Otoño,Italia,Silvio Mondinelli,Sí,Expedicion Completada(Pico Principal),6814,1,0,Desconocido,SW Ridge,2000/10/25,2000/10/27
AMAD00318,AMAD,2000,Nepal,3,Otoño,Reino Unido,Nick Kekus,Sí,Expedicion Completada(Pico Principal),6814,13,0,Desconocido,SW Ridge,2000/10/20,2000/10/29
AMAD00319,AMAD,2000,Nepal,3,Otoño,Canada,Grant Statham,Sí,Expedicion Completada(Pico Principal),6814,7,0,Desconocido,SW Ridge,2000/10/15,2000/10/22
AMAD00320,AMAD,2000,Nepal,3,Otoño,Reino Unido,Adrian Ballinger,Sí,Expedicion Completada(Pico Principal),6814,1,0,Desconocido,SW Ridge,2000/11/03,2000/11/08
AMAD00321,AMAD,2000,Nepal,3,Otoño,Canada,"Barry Blanchard, Catherine Mulvihill",No,Mal Clima,6700,2,0,Desconocido,S Ridge,2000/10/13,2000/10/18
AMAD00322,AMAD,2000,Nepal,3,Otoño,Nueva Zelanda,David Hiddleston,Sí,Expedicion Completada(Pico Principal),6814,8,0,Enfermedad,SW Ridge,2000/10/17,2000/10/26
AMAD00323,AMAD,2000,Nepal,3,Otoño,Canada,Tim Rippel,Sí,Expedicion Completada(Pico Principal),6814,6,0,Desconocido,SW Ridge,2000/10/03,2000/10/16
AMAD00324,AMAD,2000,Nepal,3,Otoño,Reino Unido,Andrew (Stanlei) Gilhooly,No,"Enfermedad, mal de altura, agotamiento o congelación.",6650,3,0,Desconocido,SW Ridge,2000/10/16,2000/10/24
AMAD00325,AMAD,2000,Nepal,3,Otoño,Estados Unidos,Mark Valdez,Sí,Expedicion Completada(Pico Principal),6814,8,0,Desconocido,SW Ridge,2000/10/18,2000/10/21
AMAD00401,AMAD,2000,Nepal,4,Invierno,Reino Unido,Andy Owen,Sí,Expedicion Completada(Pico Principal),6814,10,0,Enfermedad,SW Ridge,2000/11/26,2000/12/07
AMAD00402,AMAD,2000,Nepal,4,Invierno,Corea del Sur,Song Jung-Doo,Sí,Expedicion Completada(Pico Principal),6814,8,0,Desconocido,SW Ridge,2000/11/25,2000/12/05
AMAD00403,AMAD,2000,Nepal,4,Invierno,Estados Unidos,Inaki Ochoa,Sí,Expedicion Completada(Pico Principal),6814,16,0,Congelamiento,SW Ridge,2000/11/18,2000/12/06
AMAD01101,AMAD,2001,Nepal,1,Primavera,Australia,Marc Fairhead,No,Mal Clima,6200,5,0,Desconocido,SW Ridge,2001/03/25,2001/04/01
AMAD01102,AMAD,2001,Nepal,1,Primavera,Estados Unidos,Sergei Menchenin,No,"Enfermedad, mal de altura, agotamiento o congelación.",6100,4,0,Enfermedad,SW Ridge,2001/04/09,2001/04/17
AMAD01103,AMAD,2001,Nepal,1,Primavera,España,Jordi Montana Pineda,No,Mal Clima,6300,7,0,Desconocido,SW Ridge,2001/04/07,2001/04/25
AMAD01104,AMAD,2001,Nepal,1,Primavera,Estados Unidos,Matt Fioretti,Sí,Expedicion Completada(Pico Principal),6814,9,0,Heridas Leves,SW Ridge,2001/04/05,2001/04/28
