id_pico,descripcion,id_localizacion,abierto,altura,cambio_trekking,sin_aprobacion,año_de_cambio,estado,restricciones,codigo_pico
1,Aichyn,1,1,6055,0,0,0,Escalado,abierto en 2014,ACHN
2,Ama Dablam,2,1,6814,0,0,0,Escalado,No hay,AMAD
3,Amotsang,3,1,6393,0,0,0,Escalado,abierto en 2002,AMOT
4,Amphu Gyabjen,4,1,5630,0,0,0,Escalado,abierto en 2002,AMPG
5,Amphu I,5,1,6740,0,0,0,Escalado,abierto en 2002,AMPH
6,Amphu Middle,6,0,6202,0,1,0,Escalado,Requiere permiso de Amphu I,AMPM
7,Anidesh Chuli,7,1,6808,0,0,0,Sin escalar,abierto en 2002,ANID
8,Annapurna I,8,1,8091,0,0,0,Escalado,No hay,ANN1
9,Annapurna II,8,1,7937,0,0,0,Escalado,No hay,ANN2
10,Annapurna III,8,1,7555,0,0,0,Escalado,No hay,ANN3
11,Annapurna IV,8,1,7525,0,0,0,Escalado,No hay,ANN4
12,Annapurna I East,9,1,8026,0,0,0,Escalado,Requiere permiso de Annapurna I,ANNE
13,Annapurna I Middle,9,1,8051,0,0,0,Escalado,Requiere permiso de Annapurna I,ANNM
14,Annapurna South,10,1,7219,0,0,0,Escalado,No hay,ANNS
15,Api Main,11,1,7132,0,0,0,Escalado,No hay,APIM
16,Api West,12,1,7076,0,0,0,Sin escalar,No hay,APIW
17,Ardang,13,1,6034,0,0,0,Escalado,abierto en 2014,ARDN
18,Arniko Chuli,14,1,6034,0,0,0,Escalado,abierto en 2002,ARNK
19,Asajya Tuppa,15,1,6265,0,0,0,Sin escalar,abierto en 2014,ASAJ
20,Bamongo,16,1,6400,0,0,0,Escalado,abierto en 2002,BAMO
21,Baruntse,17,1,7152,0,0,0,Escalado,No hay,BARU
22,Baudha,18,1,6672,0,0,0,Escalado,No hay,BAUD
23,Beding Go,19,1,6125,0,0,0,Escalado,abierto en 2014,BEDG
24,Bhemdang Ri,20,1,6150,0,0,0,Escalado,No hay,BHEM
25,Bhrikuti,21,1,6476,0,0,0,Escalado,abierto en 2014,BHRI
26,Bhrikuti Shail,22,1,6361,0,0,0,Escalado,No hay,BHRS
27,Bhulu Lhasa,23,1,6102,0,0,0,Escalado,abierto en 2014,BHUL
28,Bijora Hiunchuli,24,1,6111,0,0,0,Sin escalar,abierto en 2014,BIJO
29,Bobaye,25,1,6808,0,0,0,Escalado,No hay,BOBA
30,Boktoh,26,0,6114,1,0,0,Escalado,abierto en 2002,BOKT
31,Bhairab Takura,27,1,6799,0,0,0,Escalado,No hay,BTAK
32,Burke Kang,28,1,6942,0,0,0,Escalado,abierto en 2014,BURK
33,Chhopa Bamare,29,1,6109,0,0,0,Escalado,abierto en 2014,CBAM
34,Chabuk,30,1,6792,0,0,0,Sin escalar,abierto en 2002,CHAB
35,Chago,31,1,6893,0,0,0,Escalado,abierto en 2002,CHAG
36,Chako,32,1,6704,0,0,0,Escalado,abierto en 2003,CHAK
37,Chamlang,33,1,7321,0,0,0,Escalado,No hay,CHAM
38,Changla,34,1,6563,0,0,0,Escalado,No hay,CHAN
39,Chaw Peak,35,1,6404,0,0,0,Sin escalar,abierto en 2002,CHAW
40,Chekigo,36,0,6257,1,0,2002,Escalado,abierto en 2002 as trekking peak,CHEK
41,Cheo Himal,37,1,6820,0,0,0,Escalado,No hay,CHEO
42,Chhiv Himal,38,1,6650,0,0,0,Escalado,abierto en 2002,CHIV
43,Chamar Kang,39,0,6060,0,1,0,Escalado,No hay,CHKA
44,Chamar North,40,1,7165,0,0,0,Escalado,abierto en 2014,CHMN
45,Chamar,41,1,7161,0,0,0,Sin escalar,No hay,CHMR
46,Chandi Himal,42,1,6142,0,0,0,Escalado,abierto en 2002,CHND
47,Changdi,43,1,6623,0,0,0,Sin escalar,abierto en 2014,CHNG
48,Chobuje,44,1,6686,0,0,0,Escalado,No hay,CHOB
49,Cholatse,45,0,6423,1,0,2002,Escalado,Converted to trekking peak in 2002,CHOL
50,Cho Polu,46,1,6700,0,0,0,Escalado,No hay,CHOP
51,Cho Oyu,47,1,8188,0,0,0,Escalado,No hay,CHOY
52,Churen Himal East,48,1,7371,0,0,0,Escalado,Un permiso de Churen Himal's three summits,CHRE
53,Chhukung Chuli,49,0,5550,1,0,2002,Escalado,abierto en 1997; converted to trekking peak in 2002,CHRI
54,Churen Himal West,48,1,7371,0,0,0,Escalado,Un permiso de Churen Himal's three summits,CHRW
55,Chhuboche,50,1,5606,0,0,0,Escalado,No hay,CHUB
56,Chukyima Go,51,1,6258,0,0,0,Escalado,abierto en 2014,CHUG
57,Chhukung Tse,49,0,5833,1,0,0,Escalado,No hay,CHUK
58,Chulu Central,52,0,6584,1,0,1978,Escalado,No hay,CHUL
59,Chumbu,53,1,6859,0,0,0,Escalado,abierto en 2014,CHUM
60,Churen Himal Central,48,1,7385,0,0,0,Escalado,Un permiso de Churen Himal's three summits,CHUR
61,Chulu West,52,0,6419,1,0,1978,Escalado,No hay,CHUW
62,Changwathang,54,1,6130,0,0,0,Escalado,abierto en 2002,CHWT
63,Chhochenphu Himal,55,1,6260,0,0,0,Sin escalar,abierto en 2014,CPHU
